WELLNUM,Time,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,P5um,N5um,E5um,Pnorm5,Nnorm5,Enorm5,T2a,T3a,T4a,T5a,T2norm,T3norm,T4norm,T5norm,E3um,N3um,P3um,Enorm3,Nnorm3,Pnorm3,E2um,N2um,P2um,Enorm2,Nnorm2,Pnorm2,,,Enorm2,Nnorm2,Pnorm2
1,0,4532,4977,4675,6757,6859,6556,7783,7957,7912,9212,9056,9312,4365,4396,4651,6986,6784,6480,8275,7828,7695,9124,8960,8775,3817,3694,3753,5760,5807,5381,6751,6671,145,7889,7778,7267,7644.666667,8953,9193.333333,1,1,1,4728,6724,7884,9193.333333,1,1,1,1,6724,6750,5649.333333,1,1,1,4728,4470.666667,3754.666667,1,1,1,,,,,
2,33,4447,4885,4618,6673,6739,6506,7639,7827,7770,8996,8898,8984,4312,4310,4576,6880,6727,6370,7949,7665,7593,8935,8803,8630,3758,3635,3713,5645,5710,5344,6618,6502,145,7786,7654,7133,7524.333333,8789.333333,8959.333333,0.932091798,0.912477718,0.892347799,4650,6639.333333,7745.333333,8959.333333,0.900889454,0.912924237,0.862479339,0.892347799,6639.333333,6659,5566.333333,0.912924237,0.932791728,0.93656051,4650,4399.333333,3702,0.900889454,0.922910663,0.896529142,,,,,
3,66,4391,4842,4544,6634,6655,6473,7586,7769,7714,8848,8758,8979,4281,4262,4507,6804,6677,6343,7898,7623,7508,8879,8759,8470,3710,3576,3663,5561,5644,5271,6579,6450,139,7769,7568,7051,7462.666667,8702.666667,8861.666667,0.897291196,0.866131907,0.84741604,4592.333333,6587.333333,7689.666667,8861.666667,0.827615417,0.859444635,0.807272727,0.84741604,6587.333333,6608,5492,0.859444635,0.895125554,0.879745223,4592.333333,4350,3649.666667,0.827615417,0.869596542,0.793713163,,,,,
4,99,4342,4768,4512,6501,6624,6435,7511,7717,7633,8776,8731,8933,4265,4248,4466,6749,6593,6294,7883,7571,7496,8738,8732,8405,3693,3557,3654,5564,5661,5300,6562,6405,143,7761,7552,7038,7450.333333,8625,8813.333333,0.890331076,0.82459893,0.825180187,4540.666667,6520,7620.333333,8813.333333,0.761965269,0.790195406,0.738512397,0.825180187,6520,6545.333333,5508.333333,0.790195406,0.848842935,0.892229299,4540.666667,4326.333333,3634.666667,0.761965269,0.844020173,0.764243615,,standard error 3uM,,,
5,132,4353,4791,4496,6566,6552,6481,7528,7666,7658,8818,8647,8884,4280,4237,4471,6791,6648,6289,7877,7541,7460,8773,8709,8430,3683,3572,3610,5510,5567,5190,6536,6358,162,7728,7521,6986,7411.666667,8637.333333,8783,0.868510158,0.831194296,0.811225272,4546.666667,6533,7617.333333,8783,0.769589157,0.803565307,0.73553719,0.811225272,6533,6576,5422.333333,0.803565307,0.871491876,0.826496815,4546.666667,4329.333333,3621.666667,0.769589157,0.847262248,0.73870334,,Exp,Neg,Pos,
6,165,4338,4741,4489,6505,6559,6415,7482,7692,7636,8768,8641,8884,4270,4222,4446,6810,6534,6247,7850,7461,7420,8661,8617,8389,3698,3562,3609,5530,5575,5232,6531,6333,187,7705,7434,6975,7371.333333,8555.666667,8764.333333,0.845748683,0.787522282,0.802637632,4522.666667,6493,7603.333333,8764.333333,0.739093604,0.762427151,0.721652893,0.802637632,6493,6530.333333,5445.666667,0.762427151,0.837764648,0.84433121,4522.666667,4312.666667,3623,0.739093604,0.82925072,0.741322855,,0.047957719,0.050837673,0.051479985,
7,198,4342,4732,4452,6477,6520,6325,7461,7644,7588,8689,8619,8842,4242,4225,4434,6780,6543,6231,7875,7512,7417,8705,8609,8382,3665,3541,3624,5530,5566,5214,6536,6376,183,7685,7473,6979,7379,8565.333333,8716.666667,0.850075245,0.792691622,0.78070848,4508.666667,6440.666667,7564.333333,8716.666667,0.721304532,0.708604731,0.682975207,0.78070848,6440.666667,6518,5436.666667,0.708604731,0.828655835,0.837452229,4508.666667,4300.333333,3610,0.721304532,0.81592219,0.71578258,,,,,
8,231,4312,4750,4439,6485,6488,6330,7415,7585,7524,8703,8573,8789,4225,4164,4424,6726,6495,6242,7875,7484,7368,8625,8526,8293,3643,3524,3582,5481,5553,5179,6469,6308,184,7626,7382,6987,7331.666667,8481.333333,8688.333333,0.823363431,0.747771836,0.76767367,4500.333333,6434.333333,7508,8688.333333,0.710715798,0.70209119,0.627107438,0.76767367,6434.333333,6487.666667,5404.333333,0.70209119,0.806253077,0.812738854,4500.333333,4271,3583,0.710715798,0.784221902,0.662737394,,,,,
9,1138,4017,4167,4008,5930,6070,5726,7061,7162,6817,7444,7304,7610,3812,3865,3977,5784,6009,5886,7296,7348,6661,7855,7686,7577,3329,3214,3213,4471,4538,4117,5089,4741,301,6220,5937,5610,5922.333333,7706,7452.666667,0.028028593,0.33315508,0.199202576,4064,5908.666667,7013.333333,7452.666667,0.156289708,0.161467261,0.136528926,0.199202576,5908.666667,5893,4375.333333,0.161467261,0.367060561,0.026242038,4064,3884.666667,3252,0.156289708,0.366714697,0.012442698,,standard error 5uM,,,
10,1171,3978,4143,3959,5935,6041,5592,7022,7118,6770,7371,7248,7471,3699,3829,3885,5684,5899,5771,7125,7184,6515,7644,7524,7437,3306,3247,3200,4498,4405,4121,5049,4737,173,6175,5987,5639,5933.666667,7535,7363.333333,0.034424379,0.24171123,0.158104585,4026.666667,5856,6970,7363.333333,0.108852181,0.107302023,0.093553719,0.158104585,5856,5784.666667,4341.333333,0.107302023,0.287050714,0.000254777,4026.666667,3804.333333,3251,0.108852181,0.279899135,0.010478062,,pos,neg,exp,
